CodPer,CodPro,Costo,Precio,Cantidad,CodTra,NoTra,SubTotal,Descuento,IVA,Total,fkCodPerRec,fkCodPerEnt,CodDet,Cantidad,Precio,SubtotalPro,fkCodTra,fkCodPro
3,1,1.00,1.20,1,1,1,12,0,0,12,3,50,1,1,200.00,200,1,1
3,6,11.00,16.00,4,1,1,12,0,0,12,3,50,1131,4,10.00,10,1,6
3,8,12.00,18.00,2,1,1,12,0,0,12,3,50,417,1,19.00,19,1,8
3,10,11.00,16.00,5,1,1,12,0,0,12,3,50,500,1,18.00,18,1,10
3,13,14.00,21.00,2,1,1,12,0,0,12,3,50,826,3,12.00,12,1,13
3,15,15.00,22.00,4,1,1,12,0,0,12,3,50,1150,4,15.00,15,1,15
3,20,6.00,9.00,2,1,1,12,0,0,12,3,50,916,4,10.00,10,1,20
3,29,12.00,18.00,2,1,1,12,0,0,12,3,50,561,2,16.00,16,1,29
3,30,13.00,19.00,5,1,1,12,0,0,12,3,50,220,1,15.00,15,1,30
35,5,10.00,15.00,2,2,2,430,0,0,430,35,37,1066,5,16.00,16,2,5
35,6,11.00,16.00,4,2,2,430,0,0,430,35,37,1164,1,10.00,10,2,6
35,9,12.00,18.00,1,2,2,430,0,0,430,35,37,69,4,13.00,13,2,9
35,10,11.00,16.00,5,2,2,430,0,0,430,35,37,788,2,18.00,18,2,10
35,13,14.00,21.00,2,2,2,430,0,0,430,35,37,928,1,12.00,12,2,13
35,13,14.00,21.00,2,2,2,430,0,0,430,35,37,1050,5,12.00,12,2,13
35,15,15.00,22.00,4,2,2,430,0,0,430,35,37,589,4,15.00,15,2,15
35,18,14.00,21.00,1,2,2,430,0,0,430,35,37,314,3,10.00,10,2,18
35,23,5.00,7.00,3,2,2,430,0,0,430,35,37,658,2,13.00,13,2,23
32,6,11.00,16.00,4,3,3,125,0,0,125,32,37,1014,4,10.00,10,3,6
32,7,9.00,13.00,1,3,3,125,0,0,125,32,37,1056,3,9.00,9,3,7
32,10,11.00,16.00,5,3,3,125,0,0,125,32,37,178,2,18.00,18,3,10
32,12,6.00,9.00,1,3,3,125,0,0,125,32,37,790,1,15.00,15,3,12
32,16,13.00,19.00,3,3,3,125,0,0,125,32,37,535,4,9.00,9,3,16
32,19,14.00,21.00,3,3,3,125,0,0,125,32,37,767,1,7.00,7,3,19
32,20,6.00,9.00,2,3,3,125,0,0,125,32,37,825,1,10.00,10,3,20
31,4,7.00,10.00,2,4,4,137,0,0,137,31,48,196,2,9.00,9,4,4
31,7,9.00,13.00,1,4,4,137,0,0,137,31,48,911,4,9.00,9,4,7
31,11,5.00,7.00,3,4,4,137,0,0,137,31,48,214,3,22.00,22,4,11
31,22,6.00,9.00,3,4,4,137,0,0,137,31,48,879,3,18.00,18,4,22
31,26,15.00,22.00,5,4,4,137,0,0,137,31,48,870,4,7.00,7,4,26
31,26,15.00,22.00,5,4,4,137,0,0,137,31,48,1015,5,7.00,7,4,26
31,29,12.00,18.00,2,4,4,137,0,0,137,31,48,203,1,16.00,16,4,29
31,5,10.00,15.00,2,5,5,266,0,0,266,31,50,81,1,16.00,16,5,5
31,11,5.00,7.00,3,5,5,266,0,0,266,31,50,1037,5,22.00,22,5,11
31,13,14.00,21.00,2,5,5,266,0,0,266,31,50,677,1,12.00,12,5,13
31,14,15.00,22.00,1,5,5,266,0,0,266,31,50,578,2,13.00,13,5,14
31,18,14.00,21.00,1,5,5,266,0,0,266,31,50,691,5,10.00,10,5,18
31,28,10.00,15.00,5,5,5,266,0,0,266,31,50,521,3,21.00,21,5,28
31,30,13.00,19.00,5,5,5,266,0,0,266,31,50,862,1,15.00,15,5,30
36,5,10.00,15.00,2,6,6,392,0,0,392,36,42,971,3,16.00,16,6,5
36,5,10.00,15.00,2,6,6,392,0,0,392,36,42,1064,2,16.00,16,6,5
36,6,11.00,16.00,4,6,6,392,0,0,392,36,42,759,1,10.00,10,6,6
36,7,9.00,13.00,1,6,6,392,0,0,392,36,42,892,1,9.00,9,6,7
36,15,15.00,22.00,4,6,6,392,0,0,392,36,42,39,2,15.00,15,6,15
36,19,14.00,21.00,3,6,6,392,0,0,392,36,42,443,1,7.00,7,6,19
32,6,11.00,16.00,4,7,7,453,0,0,453,32,39,118,5,10.00,10,7,6
32,7,9.00,13.00,1,7,7,453,0,0,453,32,39,632,5,9.00,9,7,7
32,10,11.00,16.00,5,7,7,453,0,0,453,32,39,188,3,18.00,18,7,10
32,12,6.00,9.00,1,7,7,453,0,0,453,32,39,728,3,15.00,15,7,12
32,23,5.00,7.00,3,7,7,453,0,0,453,32,39,1019,1,13.00,13,7,23
35,3,5.00,7.00,2,8,8,205,0,0,205,35,45,30,4,15.00,15,8,3
35,5,10.00,15.00,2,8,8,205,0,0,205,35,45,427,2,16.00,16,8,5
35,7,9.00,13.00,1,8,8,205,0,0,205,35,45,250,2,9.00,9,8,7
35,10,11.00,16.00,5,8,8,205,0,0,205,35,45,110,1,18.00,18,8,10
35,18,14.00,21.00,1,8,8,205,0,0,205,35,45,1016,4,10.00,10,8,18
35,30,13.00,19.00,5,8,8,205,0,0,205,35,45,523,1,15.00,15,8,30
31,18,14.00,21.00,1,9,9,370,0,0,370,31,46,493,1,10.00,10,9,18
31,23,5.00,7.00,3,9,9,370,0,0,370,31,46,491,2,13.00,13,9,23
31,1,1.00,1.20,1,10,10,309,0,0,309,31,47,668,5,1.20,1,10,1
31,14,15.00,22.00,1,10,10,309,0,0,309,31,47,518,3,13.00,13,10,14
31,15,15.00,22.00,4,10,10,309,0,0,309,31,47,774,5,15.00,15,10,15
31,22,6.00,9.00,3,10,10,309,0,0,309,31,47,228,3,18.00,18,10,22
31,22,6.00,9.00,3,10,10,309,0,0,309,31,47,846,1,18.00,18,10,22
31,28,10.00,15.00,5,10,10,309,0,0,309,31,47,796,2,21.00,21,10,28
31,30,13.00,19.00,5,10,10,309,0,0,309,31,47,12,5,15.00,15,10,30
32,1,1.00,1.20,1,11,11,251,0,0,251,32,47,873,5,1.20,1,11,1
32,14,15.00,22.00,1,11,11,251,0,0,251,32,47,875,3,13.00,13,11,14
32,23,5.00,7.00,3,11,11,251,0,0,251,32,47,620,3,13.00,13,11,23
35,1,1.00,1.20,1,12,12,125,0,0,125,35,37,338,3,1.20,1,12,1
35,2,5.00,7.00,3,12,12,125,0,0,125,35,37,399,2,15.00,15,12,2
35,3,5.00,7.00,2,12,12,125,0,0,125,35,37,467,4,15.00,15,12,3
35,3,5.00,7.00,2,12,12,125,0,0,125,35,37,773,2,15.00,15,12,3
35,24,13.00,19.00,5,12,12,125,0,0,125,35,37,999,5,12.00,12,12,24
35,26,15.00,22.00,5,12,12,125,0,0,125,35,37,337,2,7.00,7,12,26
36,2,5.00,7.00,3,13,13,346,0,0,346,36,38,19,5,15.00,15,13,2
36,2,5.00,7.00,3,13,13,346,0,0,346,36,38,494,4,15.00,15,13,2
36,4,7.00,10.00,2,13,13,346,0,0,346,36,38,1043,4,9.00,9,13,4
36,11,5.00,7.00,3,13,13,346,0,0,346,36,38,133,1,22.00,22,13,11
36,21,11.00,16.00,3,13,13,346,0,0,346,36,38,184,4,9.00,9,13,21
36,25,11.00,16.00,5,13,13,346,0,0,346,36,38,708,2,22.00,22,13,25
36,28,10.00,15.00,5,13,13,346,0,0,346,36,38,185,5,21.00,21,13,28
32,4,7.00,10.00,2,14,14,316,0,0,316,32,43,58,2,9.00,9,14,4
32,6,11.00,16.00,4,14,14,316,0,0,316,32,43,64,5,10.00,10,14,6
32,7,9.00,13.00,1,14,14,316,0,0,316,32,43,290,2,9.00,9,14,7
32,18,14.00,21.00,1,14,14,316,0,0,316,32,43,1079,5,10.00,10,14,18
32,22,6.00,9.00,3,14,14,316,0,0,316,32,43,1036,4,18.00,18,14,22
32,26,15.00,22.00,5,14,14,316,0,0,316,32,43,428,3,7.00,7,14,26
32,28,10.00,15.00,5,14,14,316,0,0,316,32,43,452,5,21.00,21,14,28
32,29,12.00,18.00,2,14,14,316,0,0,316,32,43,582,1,16.00,16,14,29
34,1,1.00,1.20,1,15,15,475,0,0,475,34,40,1168,2,1.20,1,15,1
34,8,12.00,18.00,2,15,15,475,0,0,475,34,40,861,5,19.00,19,15,8
34,13,14.00,21.00,2,15,15,475,0,0,475,34,40,477,4,12.00,12,15,13
34,17,14.00,21.00,3,15,15,475,0,0,475,34,40,830,1,21.00,21,15,17
34,20,6.00,9.00,2,15,15,475,0,0,475,34,40,1033,4,10.00,10,15,20
34,24,13.00,19.00,5,15,15,475,0,0,475,34,40,829,1,12.00,12,15,24
34,28,10.00,15.00,5,15,15,475,0,0,475,34,40,88,4,21.00,21,15,28
33,1,1.00,1.20,1,16,16,271,0,0,271,33,41,83,1,1.20,1,16,1
33,4,7.00,10.00,2,16,16,271,0,0,271,33,41,551,4,9.00,9,16,4
33,10,11.00,16.00,5,16,16,271,0,0,271,33,41,372,2,18.00,18,16,10
33,21,11.00,16.00,3,16,16,271,0,0,271,33,41,527,4,9.00,9,16,21
33,27,7.00,10.00,5,16,16,271,0,0,271,33,41,938,2,22.00,22,16,27
33,28,10.00,15.00,5,16,16,271,0,0,271,33,41,868,5,21.00,21,16,28
32,6,11.00,16.00,4,17,17,211,0,0,211,32,46,182,1,10.00,10,17,6
32,7,9.00,13.00,1,17,17,211,0,0,211,32,46,717,3,9.00,9,17,7
32,8,12.00,18.00,2,17,17,211,0,0,211,32,46,400,2,19.00,19,17,8
32,8,12.00,18.00,2,17,17,211,0,0,211,32,46,757,5,19.00,19,17,8
32,13,14.00,21.00,2,17,17,211,0,0,211,32,46,1023,4,12.00,12,17,13
32,28,10.00,15.00,5,17,17,211,0,0,211,32,46,408,5,21.00,21,17,28
32,28,10.00,15.00,5,17,17,211,0,0,211,32,46,968,2,21.00,21,17,28
35,5,10.00,15.00,2,18,18,376,0,0,376,35,49,836,4,16.00,16,18,5
35,13,14.00,21.00,2,18,18,376,0,0,376,35,49,1152,3,12.00,12,18,13
35,14,15.00,22.00,1,18,18,376,0,0,376,35,49,884,4,13.00,13,18,14
35,17,14.00,21.00,3,18,18,376,0,0,376,35,49,140,4,21.00,21,18,17
35,23,5.00,7.00,3,18,18,376,0,0,376,35,49,1081,3,13.00,13,18,23
35,27,7.00,10.00,5,18,18,376,0,0,376,35,49,716,3,22.00,22,18,27
32,3,5.00,7.00,2,19,19,199,0,0,199,32,43,1097,4,15.00,15,19,3
32,5,10.00,15.00,2,19,19,199,0,0,199,32,43,791,2,16.00,16,19,5
32,5,10.00,15.00,2,19,19,199,0,0,199,32,43,965,5,16.00,16,19,5
32,5,10.00,15.00,2,19,19,199,0,0,199,32,43,984,1,16.00,16,19,5
32,6,11.00,16.00,4,19,19,199,0,0,199,32,43,613,1,10.00,10,19,6
32,8,12.00,18.00,2,19,19,199,0,0,199,32,43,681,4,19.00,19,19,8
32,9,12.00,18.00,1,19,19,199,0,0,199,32,43,832,1,13.00,13,19,9
32,10,11.00,16.00,5,19,19,199,0,0,199,32,43,1035,4,18.00,18,19,10
32,11,5.00,7.00,3,19,19,199,0,0,199,32,43,565,3,22.00,22,19,11
32,14,15.00,22.00,1,19,19,199,0,0,199,32,43,785,4,13.00,13,19,14
32,18,14.00,21.00,1,19,19,199,0,0,199,32,43,854,1,10.00,10,19,18
32,25,11.00,16.00,5,19,19,199,0,0,199,32,43,544,5,22.00,22,19,25
32,28,10.00,15.00,5,19,19,199,0,0,199,32,43,16,2,21.00,21,19,28
35,1,1.00,1.20,1,20,20,225,0,0,225,35,41,141,3,1.20,1,20,1
35,4,7.00,10.00,2,20,20,225,0,0,225,35,41,56,2,9.00,9,20,4
35,19,14.00,21.00,3,20,20,225,0,0,225,35,41,571,2,7.00,7,20,19
35,30,13.00,19.00,5,20,20,225,0,0,225,35,41,1071,3,15.00,15,20,30
35,11,5.00,7.00,3,21,21,457,0,0,457,35,45,687,1,22.00,22,21,11
35,21,11.00,16.00,3,21,21,457,0,0,457,35,45,1062,4,9.00,9,21,21
35,25,11.00,16.00,5,21,21,457,0,0,457,35,45,317,5,22.00,22,21,25
35,29,12.00,18.00,2,21,21,457,0,0,457,35,45,679,3,16.00,16,21,29
34,1,1.00,1.20,1,22,22,483,0,0,483,34,48,1070,5,1.20,1,22,1
34,2,5.00,7.00,3,22,22,483,0,0,483,34,48,762,4,15.00,15,22,2
34,4,7.00,10.00,2,22,22,483,0,0,483,34,48,731,3,9.00,9,22,4
34,12,6.00,9.00,1,22,22,483,0,0,483,34,48,445,4,15.00,15,22,12
34,15,15.00,22.00,4,22,22,483,0,0,483,34,48,567,1,15.00,15,22,15
34,15,15.00,22.00,4,22,22,483,0,0,483,34,48,894,2,15.00,15,22,15
34,16,13.00,19.00,3,22,22,483,0,0,483,34,48,320,2,9.00,9,22,16
34,21,11.00,16.00,3,22,22,483,0,0,483,34,48,180,1,9.00,9,22,21
34,26,15.00,22.00,5,22,22,483,0,0,483,34,48,1182,4,7.00,7,22,26
34,27,7.00,10.00,5,22,22,483,0,0,483,34,48,300,5,22.00,22,22,27
31,9,12.00,18.00,1,23,23,470,0,0,470,31,48,34,2,13.00,13,23,9
31,12,6.00,9.00,1,23,23,470,0,0,470,31,48,609,4,15.00,15,23,12
31,22,6.00,9.00,3,23,23,470,0,0,470,31,48,1083,4,18.00,18,23,22
31,25,11.00,16.00,5,23,23,470,0,0,470,31,48,707,5,22.00,22,23,25
31,30,13.00,19.00,5,23,23,470,0,0,470,31,48,665,5,15.00,15,23,30
33,3,5.00,7.00,2,24,24,480,0,0,480,33,44,640,1,15.00,15,24,3
33,5,10.00,15.00,2,24,24,480,0,0,480,33,44,175,2,16.00,16,24,5
33,5,10.00,15.00,2,24,24,480,0,0,480,33,44,740,4,16.00,16,24,5
33,7,9.00,13.00,1,24,24,480,0,0,480,33,44,270,3,9.00,9,24,7
33,8,12.00,18.00,2,24,24,480,0,0,480,33,44,247,1,19.00,19,24,8
33,9,12.00,18.00,1,24,24,480,0,0,480,33,44,318,3,13.00,13,24,9
33,15,15.00,22.00,4,24,24,480,0,0,480,33,44,729,5,15.00,15,24,15
33,15,15.00,22.00,4,24,24,480,0,0,480,33,44,920,4,15.00,15,24,15
33,19,14.00,21.00,3,24,24,480,0,0,480,33,44,1008,1,7.00,7,24,19
33,24,13.00,19.00,5,24,24,480,0,0,480,33,44,982,2,12.00,12,24,24
34,3,5.00,7.00,2,25,25,328,0,0,328,34,48,392,3,15.00,15,25,3
34,10,11.00,16.00,5,25,25,328,0,0,328,34,48,384,1,18.00,18,25,10
34,13,14.00,21.00,2,25,25,328,0,0,328,34,48,409,5,12.00,12,25,13
34,14,15.00,22.00,1,25,25,328,0,0,328,34,48,753,3,13.00,13,25,14
34,26,15.00,22.00,5,25,25,328,0,0,328,34,48,126,4,7.00,7,25,26
32,3,5.00,7.00,2,26,26,147,0,0,147,32,45,752,5,15.00,15,26,3
32,18,14.00,21.00,1,26,26,147,0,0,147,32,45,536,1,10.00,10,26,18
32,23,5.00,7.00,3,26,26,147,0,0,147,32,45,139,4,13.00,13,26,23
32,24,13.00,19.00,5,26,26,147,0,0,147,32,45,872,1,12.00,12,26,24
32,28,10.00,15.00,5,26,26,147,0,0,147,32,45,1134,3,21.00,21,26,28
32,1,1.00,1.20,1,27,27,373,0,0,373,32,42,195,1,1.20,1,27,1
32,1,1.00,1.20,1,27,27,373,0,0,373,32,42,475,1,1.20,1,27,1
32,5,10.00,15.00,2,27,27,373,0,0,373,32,42,381,1,16.00,16,27,5
32,12,6.00,9.00,1,27,27,373,0,0,373,32,42,5,4,15.00,15,27,12
32,14,15.00,22.00,1,27,27,373,0,0,373,32,42,992,5,13.00,13,27,14
31,6,11.00,16.00,4,28,28,312,0,0,312,31,44,6,5,10.00,10,28,6
31,8,12.00,18.00,2,28,28,312,0,0,312,31,44,937,1,19.00,19,28,8
31,13,14.00,21.00,2,28,28,312,0,0,312,31,44,158,3,12.00,12,28,13
31,16,13.00,19.00,3,28,28,312,0,0,312,31,44,981,4,9.00,9,28,16
31,20,6.00,9.00,2,28,28,312,0,0,312,31,44,1140,2,10.00,10,28,20
31,23,5.00,7.00,3,28,28,312,0,0,312,31,44,893,4,13.00,13,28,23
31,24,13.00,19.00,5,28,28,312,0,0,312,31,44,936,5,12.00,12,28,24
31,25,11.00,16.00,5,28,28,312,0,0,312,31,44,435,4,22.00,22,28,25
31,25,11.00,16.00,5,28,28,312,0,0,312,31,44,994,4,22.00,22,28,25
35,1,1.00,1.20,1,29,29,151,0,0,151,35,46,97,5,1.20,1,29,1
35,11,5.00,7.00,3,29,29,151,0,0,151,35,46,99,4,22.00,22,29,11
35,11,5.00,7.00,3,29,29,151,0,0,151,35,46,547,3,22.00,22,29,11
35,15,15.00,22.00,4,29,29,151,0,0,151,35,46,1115,3,15.00,15,29,15
35,25,11.00,16.00,5,29,29,151,0,0,151,35,46,721,3,22.00,22,29,25
35,26,15.00,22.00,5,29,29,151,0,0,151,35,46,45,5,7.00,7,29,26
36,8,12.00,18.00,2,30,30,441,0,0,441,36,48,662,3,19.00,19,30,8
36,11,5.00,7.00,3,30,30,441,0,0,441,36,48,540,5,22.00,22,30,11
